,title,keyword
0,제약·바이오사 취업선호도 1위 ‘셀트리온’,셀트리온
1,삼성·셀트리온 등 바이오헬스에 10조원 투자,셀트리온
2,"서정진 ""치료제 임상 이달 종료""...文 ""셀트리온, 세계적 바이오社 될 것""",셀트리온
3,"삼성바이오·셀트리온, 송도 바이오클러스터 개발 본격화(종합)",셀트리온
4,‘K바이오 대표’ 삼바·셀트리온 등 10조 투자 약속,셀트리온
5,"셀트리온, 2023년까지 송도에 6만L 규모 3공장 건설",셀트리온
6,"제약·바이오사 취업선호도, 셀트리온 삼성바이오로직스 녹십자 순",셀트리온
7,"'K-바이오' 삼바·셀트리온 각별히 챙긴 문대통령 ""통 큰 투자 감사""",셀트리온
8,셀트리온 “코로나19 항체치료제 임상 2상 마무리중”,셀트리온
9,"셀트리온, 송도에 3공장·R&D센터 신축…5000억 투입",셀트리온
10,이낙연 셀트리온 코로나 백신 임상실험 참여한다,셀트리온
11,셀트리온 “코로나19 항체치료제 임상 2상 마무리중”,셀트리온
12,"셀트리온3사 주가 상승, SK바이오팜 제자리 삼성바이오로직스 내려",셀트리온
13,"셀트리온, 송도 3공장이어 4공장 건립 추진…연구센터 신축",셀트리온
14,"[속보]文대통령 ""삼바·셀트리온, 통 큰 투자 감사...새로운 역사 쓰고 있다""",셀트리온
15,문 대통령 '셀트리온·삼성바이오로직스 온라인 기공식',셀트리온
16,"바이오·헬스가 ‘미래 먹거리’… 셀트리온 등 41개社, 10조5000억 투자한다",셀트리온
17,K제약·바이오 취업 선호 1위 `셀트리온` 2위 `삼성바이오` 3위 `녹십자`,셀트리온
18,"KB증권 ""셀트리온, 2740억 규모 3공장 증설계획 발표""",셀트리온
19,"삼성바이오·셀트리온, 생산능력 더 늘리는 이유",셀트리온
20,"[이슈포커스] 문 대통령, 삼성바이오로직스·셀트리온 칭찬",셀트리온
21,"셀트리온, 5000억 들여 3공장 건설",셀트리온
22,"셀트리온·삼바, 2.5조 투자 글로벌 '바이오 허브' 만든다",셀트리온
23,"코스닥, 기관 순매수 상위 종목 톱...'셀트리온헬스케어-케이엠더블유=솔브레...",셀트리온
24,셀트리온 등 부채비율 100% 넘는 지주사 16개,셀트리온
25,"셀트리온3사 SK바이오팜 주가 올라, 삼성바이오로직스는 내려",셀트리온
26,"[특징주] 셀트리온 등에 업고 바이오톡스텍, 상한가 임박",셀트리온
27,"셀트리온헬스케어 3분기 역대 최대 실적 달성, 순이익 861억",셀트리온
28,"셀트리온제약, 3Q 매출액654억9000만 원·영업이익58억4000만 원",셀트리온
29,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
30,"정부, 바이오헬스에 3년간 10조 투자…삼바·셀트리온 ‘조 단위’ 투자로 ‘...",셀트리온
31,"셀트리온 ""코로나19 항체치료제, 4∼5일내 바이러스 사멸""",셀트리온
32,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
33,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
34,"셀트리온헬스케어, 3분기 영업익 1,277억 원…사상 최대",셀트리온
35,3분기 코스피 실적 알짜 승자는…코로나 수혜 본 '셀트리온·엔씨',셀트리온
36,"""셀트리온 항체치료제 이달 중 2상 완료 목표""",셀트리온
37,"셀트리온 서정진 ""코로나 치료제, 내년 200만명분 생산 계획""",셀트리온
38,인사말하는 서정진 셀트리온 회장,셀트리온
39,인사말하는 서정진 셀트리온 회장,셀트리온
40,'최대실적' 셀트리온...바이오 왕좌 굳힌다,셀트리온
41,"‘진격’의 셀트리온, 제약·바이오 선두 정조준",셀트리온
42,"독일 싸토리우스 ""셀트리온·삼성바이오에 의약품 원자재 공급""",셀트리온
43,바이오 양대축 삼바⋅셀트리온 제약업계 연구 인력 흡수하나,셀트리온
44,"文대통령, 삼바·셀트리온 칭찬…“올해말 치료제 선보일 것”",셀트리온
45,"제약바이오사, 3분기 평균 영익률 13.3%…셀트리온 선두",셀트리온
46,"셀트리온, 3분기 영업익 2453억원…분기 최대 실적",셀트리온
47,"문재인 “삼성바이오로직스 셀트리온의 송도 통큰 투자에 감사""",셀트리온
48,"[마켓Q] 셀트리온, 코스피 기업 중 영업이익률 압도적...코스닥은 랩지노믹스...",셀트리온
49,"셀트리온 3형제, 코로나19 치료제 기대에 '급등'",셀트리온
50,[스톡+ 데일리 픽] 오늘(19일)의 추천주는 셀트리온·한국전력,셀트리온
51,셀트리온 '코로나 치료제' 이르면 올해 안에 풀린다,셀트리온
52,"셀트리온, 美 류마티스학회서 CT-P17 임상 결과 발표",셀트리온
53,"이낙연 대표, 셀트리온 코로나19 치료제 임상시험 참여",셀트리온
54,"""셀트리온헬스케어, 3분기 최대 실적 달성…매수 적기""",셀트리온
55,"삼성바이오·셀트리온, 송도에 2.5조 투자...바이오의약품 생산기지 공고화",셀트리온
56,"셀트리온, 송도 제3공장 · 연구센터 신축...""바이오의약 수요 선제적 대응""",셀트리온
57,"셀트리온, 5천억 투입 송도에 3공장 및 글로벌생명공학연구센터 신축…2023년...",셀트리온
58,"셀트리온헬스케어, 3분기 매출·영업익 모두 사상 최대 실적 기록",셀트리온
59,"셀트리온헬스케어, 3분기 누적 매출 1조2000억 돌파",셀트리온
60,10년간 셀트리온 누빌 시장 규모는···‘무려 100조’,셀트리온
61,"셀트리온제약, 3분기 영업이익 58.4억원…전년 동기 대비 46.4%↑",셀트리온
62,"[제약워치] 셀트리온, 송도에 3공장·글로벌생명공학연구센터 신축...""5000억...",셀트리온
63,"셀트리온, 3분기 매출 5488억원… 분기 사상 최대",셀트리온
64,"셀트리온제약, 3Q 영업이익 58억4000만원…전년보다 46.4%↑",셀트리온
65,"셀트리온 서정진 회장 ""지원자가 없어요"" 읍소",셀트리온
66,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
67,"셀트리온, 3분기 영업이익 2,453억원…사상 최대",셀트리온
68,작년 대기업 내부거래비중 1위는 셀트리온…금액은 SK 최대,셀트리온
69,"셀트리온헬스케어, 3분기 영업이익 1277억원…전년비 500%↑ 역대 최대",셀트리온
70,"글로벌 바이오 허브 박차…삼성바이오‧셀트리온, 송도에 2.2조 투자해 공장 ...",셀트리온
71,"셀트리온 항체치료제 연내 허가 가능…서정진 ""4~5일 내 코로나 사멸""",셀트리온
72,[포토]'인사말하는 서정진 셀트리온 회장',셀트리온
73,"셀트리온헬스케어, 3분기 영업이익 1277억원…사상 최대",셀트리온
74,대기업 일감몰아주기 여전…SK·셀트리온 내부거래 가장 많아,셀트리온
75,"셀트리온, 2분기 연속 최고실적",셀트리온
76,"셀트리온헬스케어, 3분기 매출 4634억 기록",셀트리온
77,셀트리온 3분기 매출 5488억 사상 최대,셀트리온
78,셀트리온헬스케어 3분기 영업이익 1277억원…사상 최대,셀트리온
79,"[금일 제약업계 주요기사] 삼성바이오로직스, 송도 제4공장 착공…셀트리온, ...",셀트리온
80,"[실적] 셀트리온헬스케어, 3분기 영업이익 1277억…전년比 500% 증가",셀트리온
81,"셀트리온 ""5일이면 코로나 죽이는 치료제, 연말쯤 나온다""",셀트리온
82,"셀트리온헬스케어, 3분기 역대 최대 분기 실적 달성",셀트리온
83,"獨 싸토리우스, 삼성바이오로직스·셀트리온과 원부자재 공급 MOU",셀트리온
84,"셀트리온, 또 최고 실적 기록…3분기 매출 5488억·영업이익 2453억",셀트리온
85,"셀트리온헬스케어, 3분기 매출액 4634억원…역대 최대 분기 실적 달성",셀트리온
86,"셀트리온, 분기 사상 최대 매출 5488억원, 영업이익 2453억원",셀트리온
87,셀트리온 항체치료제 (CT-P59) 이르면 다음달 풀린다,셀트리온
88,"국내 제약·바이오업계, 셀트리온·삼바 약진으로 판도 재편되나",셀트리온
89,"셀트리온헬스케어 3분기 역대 최대 실적 달성...매출액 4,634억원, 영업이익 ...",셀트리온
90,"셀트리온 코로나19 항체치료제, 4~5일 내 바이러스 사멸",셀트리온
91,셀트리온 3Q 영업익 2453억…영업이익률 44.7%,셀트리온
92,"셀트리온, 3분기 영업익 2453억원…분기 최대 실적",셀트리온
93,"셀트리온, 5000억원 투입 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
94,"셀트리온제약,3Q누적 매출 1562억-영업익 68% 증가",셀트리온
95,"[단독] 셀트리온, ""코로나 치료제 전량 국내 생산""…해외 위탁생산 검토 선회",셀트리온
96,"셀트리온 ""휴미라 복제약, 임상 1·3상에서 효과·안전성 증명""",셀트리온
97,"셀트리온, 2740억원 규모 신규시설 투자 결정",셀트리온
98,"[공시]셀트리온, 2740억 규모 신규 시설투자",셀트리온
99,셀트리온 “코로나19 항체치료제 회복기간 절반 단축”,셀트리온
100,"셀트리온·삼바, K-바이오 요람 송도 클러스터에 나란히 둥지",셀트리온
101,"文대통령 ""셀트리온·삼성바이오로직스, K-바이오에 큰 공헌""",셀트리온
102,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
103,"셀트리온, 송도에 3공장·글로벌생명공학연구센터 신축",셀트리온
104,삼바·셀트리온 등 3년간 10조 투자…사업화 촉진·지역기반 고도화 지원,셀트리온
105,"셀트리온, 송도 제3공장·원스톱 연구센터 신설…총 5000억원 규모",셀트리온
106,"문 대통령, 삼바·셀트리온 기공식서 ""통 큰 투자 감사""",셀트리온
107,"셀트리온, 송도에 3공장과 생명공학연구센터 짓는다",셀트리온
108,"코스닥, 기관 순매수 상위 종목 톱...'셀트리온헬스케어-케이엠더블유=솔브레...",셀트리온
109,셀트리온 등 부채비율 100% 넘는 지주사 16개,셀트리온
110,"""송도에 바이오 허브 만든다""…삼바·셀트리온, 2.5조원 투자",셀트리온
111,"코스닥, 기관 순매수 상위 종목 톱...'셀트리온헬스케어-케이엠더블유=솔브레...",셀트리온
112,"셀트리온, 송도에 3공장과 생명공학연구센터 짓는다",셀트리온
113,"文대통령의 특급 칭찬 '삼바·셀트리온'…""통큰 투자 감사""",셀트리온
114,셀트리온 등 부채비율 100% 넘는 지주사 16개,셀트리온
115,"셀트리온3사 SK바이오팜 주가 올라, 삼성바이오로직스는 내려",셀트리온
116,"셀트리온, 송도에 제3공장·글로벌생명공학연구센터 신축",셀트리온
117,"셀트리온, 5천억 들여 송도에 3공장·연구센터 짓는다",셀트리온
118,"셀트리온, 5천억 들여 송도 3공장·연구센터 신축",셀트리온
119,`K-바이오` 집중 육성…삼바·셀트리온 등 민간투자 10조,셀트리온
120,"셀트리온, 송도에 3공장·글로벌생명공학연구센터 신축",셀트리온
121,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
122,`K-바이오` 집중 육성…삼바·셀트리온 등 민간투자 10조,셀트리온
123,"文대통령 바이오의약 세계최대도시 인천 송도 방문, 삼바·셀트리온 기공식 축...",셀트리온
124,공격적 투자 나선 셀트리온·삼바…2.2兆 투자 송도 글로벌 바이오 허브 조성,셀트리온
125,"[특징주] 셀트리온 등에 업고 바이오톡스텍, 상한가 임박",셀트리온
126,"서정진 셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 절차 시작""",셀트리온
127,"셀트리온헬스케어 3분기 역대 최대 실적 달성, 순이익 861억",셀트리온
128,"셀트리온제약, 3Q 매출액654억9000만 원·영업이익58억4000만 원",셀트리온
129,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
130,"서정진 셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 절차 시작""",셀트리온
131,"셀트리온, 5000억 원 투입해 3공장 및 글로벌생명공학연구센터 신축",셀트리온
132,"셀트리온헬스케어 3분기 역대 최대 실적 달성, 순이익 861억",셀트리온
133,"셀트리온, 총 5000억 투입..송도신도시 부지에 글로벌생명공학연구센터 건립 ...",셀트리온
134,"셀트리온제약, 3Q 매출액654억9000만 원·영업이익58억4000만 원",셀트리온
135,"[특징주] 바이오톡스텍, 2대주주 셀트리온 화이자 백신 위탁생산 가능성↑",셀트리온
136,[특징주] “2025년까지 글로벌 10위권 진입”...셀트리온 장 초반 강세,셀트리온
137,"정부, 바이오헬스에 3년간 10조 투자…삼바·셀트리온 ‘조 단위’ 투자로 ‘...",셀트리온
138,"셀트리온·삼성바이오로직스, 송도에 글로벌 '바이오 허브' 착공-2.5조 투자",셀트리온
139,"셀트리온 ""코로나19 항체치료제, 4∼5일내 바이러스 사멸""",셀트리온
140,"셀트리온 ""코로나19 항체치료제, 4∼5일내 바이러스 사멸""",셀트리온
141,"셀트리온, 송도에 1.5만㎡ 규모 제3공장·글로벌생명공학연구센터 신축",셀트리온
142,"셀트리온, 송도에 5천억 투자해 3공장 신축…4공장 건립도 추진",셀트리온
143,"삼성바이오로직스·셀트리온, 나란히 생산공장 확대…""시장 대응 극대화""",셀트리온
144,"셀트리온헬스케어, 3분기 영업익 1277억원... 분기 사상 최대",셀트리온
145,"셀트리온제약, 올 3분기 영업이익 58억4천만원…46.4% 증가",셀트리온
146,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
147,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
148,"文대통령 ""삼성바이오로직스·셀트리온의 통 큰 투자에 감사""",셀트리온
149,"셀트리온헬스케어, 3분기 영업익 1,277억 원…사상 최대",셀트리온
150,"송도 바이오 생산기지 굳힌다…삼바·셀트리온, 총 2.5조원 투자",셀트리온
151,"文대통령 ""삼성바이오로직스·셀트리온의 통 큰 투자에 감사""",셀트리온
152,"셀트리온헬스케어, 3분기 영업익 1,277억 원…사상 최대",셀트리온
153,기업투자계획 발표하는 서정진 셀트리온 회장,셀트리온
154,"셀트리온헬스케어, 3분기 영업익 1277억...역대 최대",셀트리온
155,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
156,"삼바·셀트리온, 송도에 2.2조 투입해 글로벌 ‘바이오 허브’ 만든다",셀트리온
157,삼바·셀트리온 등 바이오헬스기업들 23년까지 10조 투자,셀트리온
158,3분기 코스피 실적 알짜 승자는…코로나 수혜 본 '셀트리온·엔씨',셀트리온
159,송도 바이오 생산기지로 우뚝…삼바·셀트리온 4공장·3공장 착공,셀트리온
160,송도 바이오 생산기지로 우뚝…삼바·셀트리온 4공장·3공장 착공,셀트리온
161,"서정진 셀트리온그룹 회장 ""코로나19 항체치료제, 연내 긴급사용절차 밟는다""",셀트리온
162,투자계획 발표하는 서정진 셀트리온 회장,셀트리온
163,"""셀트리온 항체치료제 이달 중 2상 완료 목표""",셀트리온
164,"셀트리온, 송도에 제3공장·연구센터 신축…5000억 투자",셀트리온
165,"셀트리온 서정진 ""코로나 치료제, 내년 200만명분 생산 계획""",셀트리온
166,"셀트리온헬스케어, 3분기 영업익 1277억원...전년비 500% 성장",셀트리온
167,"셀트리온, 3공장 및 글로벌생명공학연구센터 건립 본격화",셀트리온
168,"셀트리온제약, 3분기 영업익 58억원…46.4% 증가",셀트리온
169,인사말하는 서정진 셀트리온 회장,셀트리온
170,"셀트리온제약, 3분기 영업익 58억원…46.4% 증가",셀트리온
171,"삼성바이오로직스·셀트리온, 새로운 생산기지 구축 위해 송도에 대규모 투자",셀트리온
172,"셀트리온 회장 ""코로나 항체치료제, 다음달 긴급사용승인 신청""",셀트리온
173,"셀트리온, 송도에 3공장 및 글로벌생명공학연구센터 신축",셀트리온
174,인사말하는 서정진 셀트리온 회장,셀트리온
175,인사말하는 서정진 셀트리온 회장,셀트리온
176,"셀트리온, 송도에 3공장·연구센터 건립…총 5천억 투입",셀트리온
177,'최대실적' 셀트리온...바이오 왕좌 굳힌다,셀트리온
178,"삼바·셀트리온 등 36개사, 3년간 10조원 투자...'K 바이오' 역량키운다",셀트리온
179,셀트리온-삼성바이오로직스 온라인 기공식 참석한 문 대통령,셀트리온
180,"삼바·셀트리온 등 36개사, 3년간 10조원 투자...'K 바이오' 역량키운다",셀트리온
181,셀트리온-삼성바이오로직스 온라인 기공식 참석한 문 대통령,셀트리온
182,"‘진격’의 셀트리온, 제약·바이오 선두 정조준",셀트리온
183,"셀트리온, 송도에 3공장 신축…4공장 건립도 추진",셀트리온
184,"셀트리온, 5000억 투입해 3공장·연구센터 짓는다",셀트리온
185,"문 대통령 ""삼바·셀트리온 세계적 바이오 기업 거듭날 것""",셀트리온
186,"독일 싸토리우스 ""셀트리온·삼성바이오에 의약품 원자재 공급""",셀트리온
